title         = ASCII CSV version of worksheet 23, "Natural Gas: Consumption" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_2016_gas_consumption_ft3.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic feet

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.41,0.176,0.0,"na",0.0,0.007,0.006,3.737,11.247,14.926,0.018,0.023,47.364,0.035,0.077,0.004,0.098,0.566,15.018,0.361,44.872,1.375,62.29,0.005,"na",2.201,0.0,0.061,0.11,0.09,0.031,0.286,0.0,0.075,0.0,0.005,0.0,0.0,0.463,0.079,0.0,0.0,0.102,0.048,0.0,0.007,0.022,0.08,0.782,0.169,0.0,0.127,"na",0.0,0.809,0.0,0.139,0.0,0.0,0.037,0.0,0.171,0.158,0.0,0.008,1.476,"na",0.061,0.0,0.0,0.031,0.0,"na",0.0,0.113,0.022,"na",41.862,"na",0.655,0.0,0.0
1966,0.0,0.444,0.189,0.0,"na",0.0,0.012,0.009,4.25,12.547,16.556,0.026,0.03,51.234,0.042,0.093,0.004,0.109,0.63,16.84,0.404,48.336,1.47,67.79,0.006,"na",2.41,0.0,0.064,0.134,0.094,0.035,0.344,0.0,0.078,0.0,0.005,0.0,0.0,0.488,0.078,0.0,0.0,0.139,0.049,0.0,0.01,0.025,0.084,0.879,0.173,0.0,0.137,"na",0.0,0.852,0.0,0.264,0.0,0.0,0.038,0.0,0.193,0.188,0.0,0.008,1.591,"na",0.074,0.0,0.0,0.035,0.0,"na",0.0,0.133,0.025,"na",45.075,"na",0.687,0.0,0.0
1967,0.044,0.465,0.181,0.0,"na",0.0,0.047,0.027,5.032,13.814,18.279,0.027,0.037,54.428,0.049,0.087,0.005,0.108,0.714,18.895,0.476,50.93,1.584,72.707,0.006,"na",2.559,0.0,0.057,0.146,0.116,0.042,0.444,0.0,0.075,0.0,0.005,0.0,0.0,0.558,0.13,0.0,0.0,0.179,0.06,0.0,0.011,0.033,0.088,0.932,0.179,0.0,0.147,"na",0.0,0.732,0.0,0.467,0.0,0.0,0.036,0.0,0.226,0.23,0.0,0.011,1.755,"na",0.089,0.0,0.0,0.041,0.0,"na",0.0,0.146,0.032,"na",47.639,"na",0.753,0.0,0.0
1968,0.058,0.516,0.192,0.003,"na",0.0,0.113,0.041,6.353,14.875,19.688,0.025,0.043,59.252,0.061,0.094,0.005,0.11,0.775,21.289,0.573,54.531,1.662,78.94,0.007,"na",2.842,0.0,0.048,0.14,0.118,0.051,0.727,0.0,0.079,0.0,0.005,0.0,0.0,0.665,0.294,0.0,0.0,0.23,0.061,0.0,0.014,0.036,0.094,1.04,0.194,0.0,0.158,"na",0.0,0.782,0.0,0.784,0.0,0.0,0.04,0.0,0.252,0.315,0.0,0.05,1.851,"na",0.106,0.0,0.0,0.05,0.0,"na",0.0,0.153,0.045,"na",50.907,"na",0.775,0.0,0.0
1969,0.057,0.515,0.234,0.041,"na",0.0,0.234,0.043,8.261,15.94,21.442,0.02,0.044,65.5,0.076,0.129,0.005,0.131,1.024,24.277,0.691,59.103,1.715,86.942,0.007,"na",3.184,0.0,0.064,0.196,0.129,0.064,1.038,0.0,0.104,0.0,0.007,0.009,0.0,0.775,0.574,0.0,0.0,0.275,0.115,0.0,0.014,0.044,0.11,1.199,0.216,0.0,0.17,"na",0.0,0.97,0.0,1.158,0.0,0.0,0.041,0.0,0.312,0.438,0.0,0.082,2.156,"na",0.128,0.0,0.0,0.064,0.0,"na",0.0,0.154,0.057,"na",54.949,"na",0.8,0.0,0.0
1970,0.081,0.582,0.284,0.158,"na",0.0,0.367,0.038,10.358,17.515,23.596,0.056,0.053,71.082,0.101,0.141,0.005,0.162,1.414,27.977,0.947,62.424,1.754,94.678,0.008,"na",3.518,0.004,0.064,0.287,0.126,0.082,1.477,0.0,0.098,0.006,0.008,0.007,0.0,0.883,1.093,0.0,0.0,0.294,0.12,0.0,0.013,0.064,0.261,1.32,0.33,0.0,0.197,"na",0.0,0.99,0.001,1.63,0.0,0.011,0.04,0.0,0.337,0.559,0.0,0.097,2.241,"na",0.156,0.0,0.0,0.081,0.0,"na",0.0,0.177,0.054,"na",57.916,"na",0.746,0.0,0.0
1971,0.129,0.629,0.326,0.236,"na",0.0,0.507,0.027,12.647,19.145,25.696,0.066,0.051,75.403,0.12,0.166,0.006,0.185,1.67,31.92,1.041,64.489,1.794,101.099,0.012,"na",3.755,0.009,0.065,0.374,0.134,0.093,1.951,0.0,0.111,0.006,0.008,0.038,0.0,1.046,1.763,0.0,0.0,0.313,0.121,0.0,0.012,0.067,0.303,1.348,0.354,0.0,0.204,"na",0.0,1.026,0.008,2.131,0.0,0.014,0.048,0.0,0.336,0.615,0.0,0.097,2.396,"na",0.131,0.0,0.0,0.092,0.0,"na",0.0,0.172,0.108,"na",59.708,"na",0.723,0.0,0.0
1972,0.133,0.704,0.352,0.338,"na",0.041,0.637,0.018,15.065,20.082,27.121,0.11,0.046,79.112,0.156,0.183,0.01,0.246,1.924,35.303,1.167,65.693,1.9,106.233,0.016,"na",4.212,0.011,0.059,0.482,0.161,0.103,2.519,0.0,0.129,0.009,0.007,0.112,0.0,1.234,2.495,0.0,0.0,0.329,0.119,0.0,0.012,0.074,0.345,1.319,0.353,0.0,0.24,"na",0.0,1.094,0.011,2.765,0.0,0.025,0.046,0.0,0.311,0.645,0.0,0.106,2.425,"na",0.148,0.0,0.0,0.102,0.0,"na",0.0,0.178,0.126,"na",60.386,"na",0.717,0.0,0.0
1973,0.167,0.803,0.387,0.43,"na",0.056,0.768,0.018,17.206,21.899,29.985,0.208,0.105,81.752,0.18,0.238,0.012,0.393,2.373,39.279,1.428,66.116,2.147,111.737,0.019,"na",4.492,0.015,0.046,0.598,0.161,0.111,3.257,0.0,0.18,0.005,0.006,0.108,0.0,1.451,2.707,0.0,0.0,0.392,0.077,0.0,0.005,0.074,0.421,1.548,0.493,0.0,0.27,"na",0.0,1.215,0.011,3.084,0.0,0.029,0.045,0.0,0.355,0.673,0.0,0.153,2.57,"na",0.174,0.0,0.0,0.111,0.0,"na",0.0,0.171,0.146,"na",60.409,"na",0.885,0.0,0.0
1974,0.174,0.85,0.42,0.49,"na",0.062,0.9,0.039,19.394,23.221,31.985,0.226,0.175,81.95,0.203,0.266,0.012,0.44,2.949,42.82,1.504,63.964,2.259,113.936,0.036,"na",4.54,0.031,0.048,0.753,0.163,0.136,4.074,0.0,0.208,0.011,0.006,0.135,0.041,1.515,3.237,0.0,0.0,0.411,0.109,0.0,0.006,0.083,0.428,1.695,0.674,0.0,0.284,"na",0.0,1.279,0.022,3.281,0.0,0.034,0.046,0.0,0.393,0.691,0.0,0.126,2.652,"na",0.22,0.0,0.0,0.135,0.0,"na",0.0,0.156,0.153,"na",58.146,"na",0.935,0.0,0.0
