title         = ASCII CSV version of worksheet 22, "Natural Gas: Consumption" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_2016_gas_consumption_m3.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic metres

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,4.24,1.818,0.003,"na",0.0,0.07,0.061,38.619,116.247,154.27,0.187,0.242,489.543,0.359,0.796,0.042,1.008,5.851,155.225,3.727,463.784,14.216,643.812,0.05,"na",22.749,0.0,0.632,1.136,0.93,0.323,2.959,0.0,0.772,0.0,0.049,0.0,0.0,4.781,0.821,0.0,0.0,1.056,0.5,0.0,0.077,0.227,0.827,8.082,1.745,0.0,1.314,"na",0.0,8.362,0.0,1.433,0.0,0.0,0.38,0.0,1.769,1.637,0.0,0.081,15.257,"na",0.632,0.0,0.0,0.321,0.0,"na",0.0,1.169,0.229,"na",432.673,"na",6.773,0.0,0.0
1966,0.0,4.592,1.952,0.004,"na",0.0,0.127,0.091,43.932,129.681,171.117,0.268,0.31,529.534,0.439,0.957,0.046,1.126,6.509,174.052,4.179,499.588,15.196,700.651,0.058,"na",24.906,0.0,0.66,1.384,0.97,0.359,3.557,0.0,0.802,0.0,0.056,0.0,0.0,5.043,0.801,0.0,0.0,1.433,0.51,0.0,0.1,0.254,0.867,9.083,1.79,0.0,1.413,"na",0.0,8.802,0.0,2.733,0.0,0.0,0.397,0.0,1.999,1.946,0.0,0.082,16.449,"na",0.76,0.0,0.0,0.357,0.0,"na",0.0,1.371,0.257,"na",465.88,"na",7.102,0.0,0.0
1967,0.454,4.802,1.87,0.004,"na",0.0,0.483,0.277,52.012,142.775,188.921,0.28,0.386,562.553,0.508,0.896,0.048,1.114,7.379,195.295,4.92,526.399,16.368,751.474,0.066,"na",26.448,0.0,0.585,1.508,1.2,0.43,4.585,0.0,0.778,0.0,0.056,0.0,0.0,5.764,1.348,0.0,0.0,1.85,0.623,0.0,0.112,0.34,0.909,9.636,1.852,0.0,1.521,"na",0.0,7.567,0.0,4.83,0.0,0.0,0.371,0.0,2.332,2.378,0.0,0.112,18.134,"na",0.916,0.0,0.0,0.428,0.0,"na",0.0,1.513,0.332,"na",492.384,"na",7.782,0.0,0.0
1968,0.6,5.347,1.994,0.031,"na",0.0,1.175,0.424,65.847,154.161,204.047,0.263,0.444,614.084,0.636,0.97,0.049,1.137,8.032,220.644,5.936,565.16,17.223,818.131,0.07,"na",29.451,0.0,0.5,1.446,1.223,0.526,7.535,0.0,0.818,0.0,0.056,0.0,0.0,6.893,3.043,0.0,0.0,2.383,0.633,0.0,0.143,0.378,0.971,10.777,2.015,0.0,1.637,"na",0.0,8.107,0.0,8.121,0.0,0.0,0.413,0.0,2.617,3.267,0.0,0.513,19.188,"na",1.101,0.0,0.0,0.521,0.0,"na",0.0,1.588,0.468,"na",527.601,"na",8.033,0.0,0.0
1969,0.59,5.327,2.42,0.42,"na",0.0,2.42,0.441,85.384,164.75,221.619,0.208,0.452,676.988,0.788,1.332,0.05,1.354,10.586,250.921,7.146,610.871,17.728,898.606,0.073,"na",32.913,0.0,0.658,2.025,1.336,0.664,10.731,0.0,1.076,0.0,0.071,0.093,0.0,8.01,5.93,0.0,0.0,2.844,1.193,0.0,0.147,0.453,1.14,12.391,2.23,0.0,1.761,"na",0.0,10.028,0.0,11.969,0.0,0.0,0.421,0.0,3.224,4.529,0.0,0.85,22.281,"na",1.326,0.0,0.0,0.66,0.0,"na",0.0,1.597,0.588,"na",567.93,"na",8.267,0.0,0.0
1970,0.84,6.02,2.935,1.633,"na",0.0,3.798,0.398,107.056,181.031,243.88,0.581,0.543,734.68,1.043,1.456,0.054,1.677,14.615,289.158,9.791,645.194,18.125,978.56,0.079,"na",36.361,0.037,0.657,2.965,1.298,0.846,15.261,0.0,1.011,0.067,0.085,0.074,0.0,9.126,11.3,0.0,0.0,3.039,1.239,0.0,0.135,0.658,2.702,13.646,3.414,0.0,2.037,"na",0.0,10.232,0.008,16.852,0.0,0.111,0.413,0.0,3.486,5.776,0.0,1.005,23.159,"na",1.617,0.0,0.0,0.84,0.0,"na",0.0,1.827,0.558,"na",598.601,"na",7.71,0.0,0.0
1971,1.33,6.499,3.371,2.438,"na",0.0,5.237,0.274,130.718,197.881,265.59,0.682,0.529,779.337,1.244,1.716,0.059,1.915,17.259,329.917,10.758,666.532,18.547,1044.927,0.124,"na",38.81,0.089,0.67,3.864,1.382,0.959,20.161,0.0,1.148,0.067,0.085,0.394,0.0,10.816,18.22,0.0,0.0,3.24,1.253,0.0,0.126,0.697,3.128,13.937,3.661,0.0,2.104,"na",0.0,10.6,0.079,22.027,0.0,0.141,0.493,0.0,3.476,6.353,0.0,1.005,24.762,"na",1.349,0.0,0.0,0.952,0.0,"na",0.0,1.78,1.121,"na",617.122,"na",7.472,0.0,0.0
1972,1.38,7.293,3.644,3.499,"na",0.42,6.603,0.186,156.131,208.129,281.084,1.14,0.472,819.911,1.621,1.896,0.108,2.545,19.94,365.881,12.099,680.838,19.692,1100.995,0.17,"na",43.653,0.113,0.61,5.001,1.672,1.063,26.103,0.0,1.333,0.097,0.071,1.16,0.0,12.79,25.856,0.0,0.0,3.408,1.229,0.0,0.125,0.764,3.581,13.668,3.662,0.0,2.487,"na",0.0,11.341,0.111,28.662,0.0,0.256,0.474,0.0,3.221,6.684,0.0,1.103,25.137,"na",1.529,0.0,0.0,1.057,0.0,"na",0.0,1.84,1.305,"na",625.843,"na",7.427,0.0,0.0
1973,1.73,8.299,4.005,4.443,"na",0.581,7.937,0.187,177.839,226.345,309.911,2.148,1.088,844.964,1.865,2.464,0.122,4.061,24.531,405.977,14.763,683.35,22.194,1154.875,0.195,"na",46.423,0.153,0.479,6.178,1.662,1.151,33.661,0.0,1.856,0.056,0.057,1.12,0.0,15.001,27.974,0.0,0.0,4.052,0.8,0.0,0.054,0.762,4.349,16.0,5.096,0.0,2.786,"na",0.0,12.558,0.111,31.873,0.0,0.297,0.464,0.0,3.669,6.952,0.0,1.58,26.559,"na",1.8,0.0,0.0,1.143,0.0,"na",0.0,1.767,1.506,"na",624.369,"na",9.149,0.0,0.0
1974,1.8,8.784,4.341,5.069,"na",0.639,9.301,0.407,200.449,240.007,330.59,2.337,1.813,847.009,2.095,2.751,0.128,4.545,30.477,442.572,15.546,661.114,23.346,1177.599,0.375,"na",46.927,0.321,0.499,7.78,1.687,1.402,42.11,0.0,2.148,0.111,0.06,1.4,0.425,15.662,33.46,0.0,0.0,4.249,1.127,0.0,0.066,0.863,4.422,17.522,6.964,0.0,2.931,"na",0.0,13.215,0.231,33.916,0.0,0.347,0.478,0.0,4.059,7.146,0.0,1.298,27.413,"na",2.278,0.0,0.0,1.393,0.0,"na",0.0,1.615,1.586,"na",600.972,"na",9.669,0.0,0.0
