title         = ASCII CSV version of worksheet 6, "Oil: Consumption" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_2016_oil_consumption_bbl.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = thousand barrels daily

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,1.546,432.374,106.653,312.98,"na","na",312.113,71.221,7793.204,3313.952,7634.018,276.737,94.196,23083.149,111.949,161.458,408.357,551.92,3229.886,11524.375,881.4,12926.663,1602.925,30717.168,305.674,"na",1108.116,164.189,70.517,215.494,81.432,78.083,1708.632,202.447,26.716,13.395,130.738,268.464,110.57,1065.497,1466.078,84.771,40.612,73.122,121.971,46.549,75.997,252.234,142.896,978.986,1705.076,24.946,108.916,"na","na",296.359,46.08,477.892,99.449,56.719,72.125,84.587,75.727,108.745,50.253,1.013,142.55,"na",389.574,367.955,76.5,44.881,47.561,"na",69.374,35.171,43.856,"na",11522.188,"na",183.88,31.347,117.729
1966,1.656,447.271,118.206,367.428,"na","na",318.668,81.129,8560.419,3548.819,8240.441,299.187,99.488,24843.332,130.066,169.41,425.48,602.328,3720.086,12577.461,906.593,13576.952,1700.353,33083.773,334.603,"na",1167.469,174.73,77.453,276.665,92.394,85.892,1915.968,230.123,35.353,13.969,139.933,318.839,134.503,1145.223,1573.599,92.821,44.746,80.925,117.467,52.169,79.262,281.529,155.999,1079.862,1945.192,37.368,106.34,"na","na",309.136,53.752,521.76,112.014,62.73,92.296,92.283,77.752,113.892,51.667,1.01,148.9,"na",392.916,415.517,87.407,49.358,55.993,"na",82.812,35.418,51.778,"na",12100.347,"na",181.469,68.51,127.854
1967,1.791,459.877,125.649,401.463,"na","na",350.395,101.827,9288.667,3866.126,8798.248,313.044,105.891,26642.445,153.118,177.876,445.71,600.542,4329.161,13675.199,936.221,14143.71,1755.859,35440.693,344.54,"na",1245.557,188.007,81.569,273.294,93.369,95.499,1997.306,243.873,33.286,15.11,115.715,387.672,141.249,1315.157,1696.269,109.213,53.572,86.061,114.318,58.485,82.614,289.38,172.291,1198.533,2388.41,64.731,103.854,"na","na",331.273,53.441,533.563,116.586,65.812,93.001,103.991,86.803,124.184,56.916,1.536,169.973,"na",396.26,407.651,104.374,54.869,61.973,"na",97.021,36.954,61.371,"na",12566.88,"na",185.729,100.338,138.497
1968,1.997,468.995,144.321,435.991,"na","na",405.103,120.457,10165.01,4107.31,9417.409,323.969,111.867,28936.972,173.929,186.321,454.693,629.908,4933.103,14862.13,965.222,15088.181,1875.836,38354.381,412.432,"na",1322.157,207.604,86.064,298.006,103.897,105.561,2233.023,263.77,35.374,18.009,120.501,411.124,159.511,1418.657,1794.165,112.242,58.338,90.229,120.646,64.806,85.908,324.334,189.27,1318.665,2765.208,95.416,101.207,"na","na",361.475,53.941,572.523,129.532,67.433,92.761,118.343,98.628,154.398,60.958,1.967,180.335,"na",398.553,456.648,128.878,60.694,81.13,"na",116.566,37.56,72.864,"na",13404.549,"na",201.426,102.08,150.065
1969,2.219,491.751,158.687,450.961,"na","na",468.288,148.472,11390.47,4376.249,10126.854,344.502,117.855,31564.798,188.489,196.245,486.931,639.007,5747.864,16410.839,1000.214,15915.703,1978.025,41691.652,456.565,"na",1380.19,226.43,92.455,400.561,100.492,113.458,2520.928,316.139,37.714,18.951,91.508,469.014,184.593,1641.933,1930.183,119.948,69.568,101.012,130.462,70.943,89.834,392.345,207.363,1462.604,3284.039,129.793,99.208,"na","na",382.527,55.897,625.223,142.952,70.332,91.023,127.193,92.757,170.271,64.539,2.281,200.296,"na",403.065,515.527,127.077,65.223,87.97,"na",129.44,39.487,87.341,"na",14152.985,"na",200.371,123.714,165.283
1970,2.562,447.786,175.708,496.754,"na","na",511.709,172.553,12605.297,4826.363,11070.894,364.104,114.335,34158.289,218.449,196.919,520.519,703.336,6660.769,18155.249,1050.815,16593.034,2065.978,45229.182,516.498,"na",1471.58,253.719,97.838,554.224,116.066,136.729,2765.05,350.737,43.01,21.514,117.094,534.015,207.461,1860.038,2030.726,129.852,74.896,117.526,137.741,79.346,93.654,390.317,223.955,1658.888,3876.209,162.12,97.028,"na","na",411.544,61.794,699.746,161.006,82.287,95.378,144.428,91.833,181.138,91.524,1.955,217.607,"na",434.741,560.565,138.037,78.574,102.809,"na",136.221,40.506,104.729,"na",14709.91,"na",209.874,128.258,179.128
1971,2.986,479.603,196.213,523.101,"na",14.006,525.208,189.469,13196.907,5126.54,12115.632,423.664,114.459,35815.041,267.182,219.709,676.254,789.943,7408.059,19131.086,1106.016,17168.676,2326.893,47930.673,569.697,"na",1512.128,269.506,108.044,753.265,119.953,151.18,2888.109,346.842,48.878,23.877,122.027,593.255,215.13,2022.417,2036.777,143.342,79.621,132.699,142.491,87.807,97.67,416.36,246.193,1789.874,4285.448,183.125,96.249,"na","na",433.79,67.587,695.686,160.123,84.878,95.265,167.836,87.114,191.04,103.56,1.89,221.924,"na",441.319,529.939,120.722,86.911,114.387,"na",160.354,41.859,145.157,"na",15222.758,"na",212.342,108.502,195.373
1972,3.896,478.584,211.859,532.159,"na",16.868,566.885,196.511,14108.185,5547.118,13112.571,452.445,124.096,38338.342,279.417,228.658,709.404,857.659,7953.018,20506.276,1185.047,18450.379,2498.534,51450.913,656.891,"na",1588.909,275.571,114.291,864.588,134.953,164.674,3036.931,365.701,53.543,24.657,139.706,622.715,227.921,2237.728,2155.154,164.901,90.006,144.069,154.329,96.223,101.775,447.397,273.95,1885.622,4570.639,190.533,104.271,"na","na",480.656,74.931,776.911,167.511,91.02,81.645,164.263,71.204,213.607,112.387,2.244,235.969,"na",470.255,545.128,150.323,94.649,142.748,"na",181.113,67.287,156.196,"na",16380.814,"na",230.822,111.719,211.965
1973,6.063,482.635,230.396,569.901,"na",18.975,597.896,207.978,15148.577,5981.45,14347.048,497.392,124.947,41253.572,306.856,236.539,761.852,921.987,9072.0,22071.37,1282.79,19515.022,2737.452,55600.62,803.798,"na",1682.379,297.284,109.559,1058.323,131.227,184.897,3249.326,341.325,58.849,27.439,131.569,745.247,254.964,2499.079,2228.136,192.441,93.921,163.105,184.515,104.456,107.927,473.67,329.375,1982.795,5264.604,235.133,99.388,"na","na",514.71,81.921,808.201,171.939,96.233,95.417,192.745,73.214,238.11,123.788,2.913,265.196,"na",500.585,567.576,142.609,106.295,151.426,"na",222.634,68.266,199.928,"na",17317.933,"na",257.259,109.935,234.176
1974,8.395,482.874,207.131,603.856,"na",19.626,529.36,216.242,14231.145,6587.913,15267.011,514.61,128.445,39552.109,331.341,246.703,753.375,954.25,9008.461,21735.823,1368.853,18931.855,2819.879,54819.121,863.549,"na",1712.654,265.094,105.071,1216.71,144.798,188.955,2956.807,308.552,65.642,31.347,145.608,775.679,223.222,2374.834,2069.287,179.702,96.436,178.354,193.296,103.464,110.112,464.375,382.759,1927.031,5068.186,243.641,91.285,"na","na",588.552,81.673,697.977,156.366,92.23,112.086,180.023,78.956,250.002,131.245,3.99,244.407,"na",525.608,508.048,140.118,108.627,153.653,"na",216.184,67.354,179.726,"na",16630.648,"na",259.425,67.511,228.391
